Dataset,Metric,SGD_Mean,SCG_Mean,LeapFrog_Mean,Best,Friedman_p,Significant
Iris,Accuracy,0.9866666674613953,0.9666666686534882,0.9800000011920929,SGD,0.0969719678644026,No
Titanic,Accuracy,0.8372159600257874,0.830511850118637,0.7967914998531341,SGD,0.03354938179525125,Yes
Beer,Accuracy,0.9015459954738617,0.6967194616794586,0.8841251909732819,SGD,0.007112183739645878,Yes
Polynomial,RMSE,0.9547327518320632,1.4127389751359947,1.0348973481453065,SGD,0.0005004514334406062,Yes
Sinusoidal,RMSE,0.3891271178614689,0.489850728165942,0.2735830480300359,LeapFrog,0.0018363047770289128,Yes
Gaussian Mixture,RMSE,0.22442412376352103,0.2370691175066475,0.22603564184734,SGD,0.020241911445804273,Yes
